Character,Betweenness Centrality,PageRank,Degree
Aerion Targaryen,0.0,0.0003393651626273099,0.005703422053231939
Robin Ryger,9.863692848413285e-05,0.0008307187409717414,0.026615969581749048
Desmond Grell,0.0002285986112121486,0.001003282198137776,0.039923954372623575
Stafford Lannister,0.00027182653988247534,0.0009301443621422855,0.04182509505703422
Daven Lannister,0.0006606833831381055,0.0014384377698118526,0.058935361216730035
Jacelyn Bywater,5.0171396187907945e-05,0.0007395479442266822,0.034220532319391636
Dale Seaworth,0.0002953226896482558,0.0006773253309829261,0.017110266159695818
Devan Seaworth,0.0016925333741284938,0.0014591578793343326,0.039923954372623575
Marya Seaworth,0.0,0.0006225281530494423,0.005703422053231939
Sawane Botley,8.440908440449258e-05,0.0005832024422675105,0.009505703422053232
Gorold Goodbrother,0.0,0.0005210525272743105,0.0076045627376425855
Rodrik Harlaw,0.00035419277582456656,0.0009721925300250159,0.02091254752851711
Euron Greyjoy,0.0055116466820847795,0.0029524592341517164,0.03231939163498099
Victarion Greyjoy,0.0076220863166737455,0.0023850988571948633,0.03231939163498099
Dagmer Cleftjaw,4.107063807186575e-05,0.0005770742655513402,0.011406844106463879
Aeron Greyjoy,0.0010627379871873028,0.0021233100855719052,0.030418250950570342
Alannys Harlaw,6.92184895074836e-06,0.0013612431824679963,0.017110266159695818
Asha Greyjoy,0.005790193145252458,0.003484027101709961,0.043726235741444866
Rodrik Greyjoy,6.462574080781621e-05,0.0009930593842203748,0.017110266159695818
Leyton Hightower,0.0009594068560205521,0.0005969175612535973,0.028517110266159697
Ryman Frey,0.0017553068479220736,0.0018603378418467081,0.06463878326996197
Lyle Crakehall,0.0017594503577231942,0.0010354388211346287,0.051330798479087454
Pyat Pree,2.069268772147642e-06,0.0008131883595163477,0.017110266159695818
Xaro Xhoan Daxos,0.0001171312229357209,0.000989091404378437,0.024714828897338403
Quaithe,0.0,0.0005738718181368223,0.013307984790874524
Bedwyck,0.00016227978130683814,0.001157138991872271,0.04752851711026616
Eddison Tollett,0.0024853632115269665,0.0034842659273363556,0.09695817490494296
Jarman Buckwell,8.696559805759568e-05,0.0009450021119846887,0.030418250950570342
Mallador Locke,4.24234264538447e-06,0.0007453096627372494,0.02091254752851711
Ottyn Wythers,2.420707845037978e-05,0.0007659288128192654,0.022813688212927757
Maester Frenken,8.671042477860595e-05,0.0007263301804496553,0.049429657794676805
Alayaya,0.00010294991087990916,0.0005940144742995191,0.019011406844106463
Poxy Tym,4.6715905716321416e-05,0.0008960875979330803,0.03612167300380228
Donella Hornwood,6.172689999746993e-05,0.0008606255805499766,0.019011406844106463
Ramsay Snow,0.003593094055981791,0.004547428371038664,0.08745247148288973
Reek,8.992714709442863e-06,0.0004216711584925257,0.009505703422053232
Mors Umber,0.0002846860066106993,0.0006643706792588118,0.022813688212927757
Hother Umber,0.00017904953161506648,0.0012301415163511822,0.03802281368821293
Sybelle Glover,0.00027248782635256095,0.0006631108667842281,0.011406844106463879
Leobald Tallhart,1.940825598514033e-05,0.0007536661070592236,0.017110266159695818
Benfred Tallhart,8.425382152655229e-05,0.0005859831855144229,0.011406844106463879
Ondrew Locke,6.281771820905685e-05,0.0005277946443361996,0.022813688212927757
Cley Cerwyn,0.00024220308136851717,0.0007110844196883846,0.02091254752851711
Hallyne,0.0002444483205484035,0.0005979345773829351,0.030418250950570342
Tyrek Lannister,0.0003282083359980028,0.001046627388721133,0.058935361216730035
Chiswyck,2.4445226299438485e-05,0.0006700379895337656,0.019011406844106463
Raff the Sweetling,0.00033369361875400136,0.0015998741123000942,0.02091254752851711
Rossart,2.5183849027866224e-05,0.0004616508442459759,0.011406844106463879
Trystane Martell,0.00043862625811432344,0.0010123329702606892,0.022813688212927757
Meera Reed,0.0011329567120297332,0.0018118400219268426,0.051330798479087454
Jojen Reed,0.0016100669644174503,0.0019813783921542177,0.053231939163498096
Lord Estermont,0.0004204269967474264,0.0005960367031279906,0.03231939163498099
Ronnet Connington,0.0011539405537432863,0.0010308700854341282,0.051330798479087454
Brienne Tarth,0.011876265626645632,0.004563708200208041,0.11216730038022814
Selwyn Tarth,1.9431512781378964e-05,0.0005497433615393187,0.009505703422053232
Lucas Blackwood,1.966217186534751e-05,0.0005382393934366444,0.019011406844106463
Guyard Morrigen,0.0004081314048516654,0.0005807861622659581,0.030418250950570342
Mark Mullendore,0.0004668704644294208,0.000824022673675288,0.045627376425855515
Cortnay Penrose,0.00027598934362268237,0.0007012146052400198,0.022813688212927757
Craster,0.0003205489829989654,0.001550685141099993,0.03802281368821293
Gilly,0.0011314223422134151,0.0021319946257779597,0.039923954372623575
Wex Pyke,0.0006668261657029677,0.0008219950713738056,0.028517110266159697
Qarl,2.7793272638097624e-05,0.00047977616361532784,0.0076045627376425855
The Tickler,4.364853948422474e-05,0.001540690187043772,0.02091254752851711
Dunsen,0.0,0.001245637818008405,0.015209125475285171
Weese,0.0,0.0003797782879822344,0.0038022813688212928
Polliver,4.364853948422474e-05,0.0013691948671552914,0.02091254752851711
Pia,0.0009458398014372289,0.0007713384795466119,0.024714828897338403
Martyn Lannister,0.00011548284945405934,0.0006977108773525607,0.03231939163498099
Emmon Cuy,6.60657861770456e-05,0.0007713963173166666,0.022813688212927757
Edwyn Frey,0.0005792071802640456,0.0016988943082867807,0.06844106463878327
Petyr Frey,0.00019615942668317228,0.0014106045814814832,0.055133079847908745
Aegon Frey,0.0001240292305147759,0.0012318135636258261,0.049429657794676805
Alester Florent,0.0005316240966019478,0.0010821815634225259,0.030418250950570342
Lorren,0.00013114908215836762,0.0009171939127913549,0.03612167300380228
Osmund Kettleblack,0.0018443647606028268,0.003569982914636762,0.09885931558935361
Osney Kettleblack,0.0010272294540033093,0.0016324726059808205,0.07604562737642585
Osfryd Kettleblack,0.000543838437991489,0.0012573266360841702,0.057034220532319393
Tygett Lannister,2.239942037248862e-05,0.0007528185798422335,0.03231939163498099
Rattleshirt,0.001763229741805124,0.0016618361455515887,0.045627376425855515
Harma,2.4141469008389164e-06,0.0008439375894101022,0.02091254752851711
Alfyn Crowkiller,2.8969762810066994e-06,0.0003894197818239073,0.0076045627376425855
The Weeper,0.00011304169265367696,0.0010408424954011378,0.026615969581749048
Ebben,2.356350688108393e-05,0.0005672337541921698,0.013307984790874524
Symon Silver Tongue,0.0,0.00045728169132966845,0.0076045627376425855
Aenys Frey,0.0025385740294814477,0.002088860901567913,0.08365019011406843
Shagwell,0.0006142874687099135,0.0016310357712038556,0.039923954372623575
High Septon 2,0.00019255948344876076,0.0009781293160300401,0.058935361216730035
Stonesnake,2.5006211225331633e-05,0.0006592247983230446,0.013307984790874524
Orell,0.0,0.0005138213516826293,0.005703422053231939
Ygritte,0.00013572284282256484,0.002472084093621522,0.03231939163498099
Garlan Tyrell,0.0005330825448640461,0.0016461798562208514,0.06273764258555133
Belwas,0.0001321442804336739,0.002335544369643291,0.039923954372623575
Steelshanks Walton,0.0006105136950457108,0.0009594943007917221,0.04182509505703422
Qyburn,0.005641149308844803,0.002370617967720238,0.08555133079847908
Urswyck,6.070759875890606e-05,0.0009019169484632645,0.030418250950570342
Josmyn Peckledon,0.0001750282331594636,0.000691297157585816,0.022813688212927757
Aurane Waters,0.0002147206634723427,0.0009175519216621291,0.03802281368821293
Joanna Lannister,0.00030414583487304735,0.0012050842863151042,0.03231939163498099
Maester Ballabar,1.6525928455815785e-05,0.00044902117108039824,0.017110266159695818
Paul,0.00022228576958987259,0.0006929562025660976,0.011406844106463879
Kedge,0.0001583476204761887,0.0007503279880193022,0.03802281368821293
Donnel Hill,0.0001009429856260723,0.0009499062030026156,0.03802281368821293
Arianne Martell,0.0025584372220524444,0.0014794249078035314,0.034220532319391636
